author_sort,authors,comments,cover,timestamp,formats,isbn,identifiers,languages,library_name,pubdate,publisher,rating,series,series_index,size,tags,title,title_sort,id,uuid
"Schember, John","John Schember","calibre Quick Start Guide","/home/venus/Calibre Library/John Schember/Quick Start Guide (1)/cover.jpg","2018-08-30T09:41:25-06:00","epub","","","eng","Calibre Library","0100-12-31T17:00:00-07:00","","","","1.0","55672","","Quick Start Guide","Quick Start Guide","1","8b45c0d7-5991-45f7-9c10-672eca1317cd"
"Unknown","Unknown","Second Treatise of Civil Government / John Locke","/home/venus/Calibre Library/Unknown/Second Treatise of Civil Government (2)/cover.jpg","2018-08-30T09:41:26-06:00","epub","","","eng","Calibre Library","1690-08-14T17:00:00-07:00","The University of Adelaide Library","","","1.0","197058","","Second Treatise of Civil Government","Second Treatise of Civil Government","2","040c6c00-bc9f-40cf-8a5f-a9f40aa7001e"
"Unknown","Unknown","Leviathan / Thomas Hobbes","/home/venus/Calibre Library/Unknown/Leviathan (3)/cover.jpg","2018-08-30T09:45:41-06:00","azw3","","mobi-asin:b323ab32-4ac9-425d-947a-bce95018d50e","eng","Calibre Library","2016-04-22T21:52:31-06:00","The University of Adelaide Library","","","1.0","941612","","Leviathan","Leviathan","3","49dc922c-cd50-4c06-b294-919ae0e7e80e"
"Lueck, Kim","Kim Lueck","","/home/venus/Calibre Library/Kim Lueck/hse manual (4)/cover.jpg","2018-08-30T09:51:54-06:00","pdf","","","","Calibre Library","2015-06-08T12:13:34-06:00","","","","1.0","1239426","","hse manual","hse manual","4","3d966561-a6cc-479c-80d2-df271a596ff7"
"Lee, Edward A. & Seshia, Sanjit A.","Edward A. Lee & Sanjit A. Seshia","","/home/venus/Calibre Library/Edward A. Lee/Embedded Systems (5)/cover.jpg","2018-08-30T09:51:54-06:00","pdf","","","","Calibre Library","2012-01-04T21:38:52-07:00","","","","1.0","23734627","","Embedded Systems","Embedded Systems","5","8da6dcef-0d70-4830-afd8-96bced683c25"
"Unknown","Unknown","","/home/venus/Calibre Library/Unknown/An introduction to electronics (6)/cover.jpg","2018-08-30T09:51:54-06:00","pdf","","","","Calibre Library","0100-12-31T17:00:00-07:00","","","","1.0","9634858","","An introduction to electronics","introduction to electronics, An","6","0e996db4-1437-46d4-80c6-8323eca16f5a"
"Unknown","Unknown","","/home/venus/Calibre Library/Unknown/SQL Queries for Mere Mortals (7)/cover.jpg","2018-08-30T09:51:54-06:00","pdf","","","","Calibre Library","2007-11-25T06:39:14-07:00","","","","1.0","3305042","","SQL Queries for Mere Mortals","SQL Queries for Mere Mortals","7","b5185909-efc3-4c3b-b2d1-b1194d13d3e0"
"Benjamin J. Evans, David Flanagan","Benjamin J. Evans, David Flanagan","","/home/venus/Calibre Library/Benjamin J. Evans, David Flanagan/Java in a Nutshell, 6th edition (covers Java 8) (8)/cover.jpg","2018-08-30T09:51:54-06:00","pdf","","","","Calibre Library","0100-12-31T17:00:00-07:00","","","","1.0","7503230","","Java in a Nutshell, 6th edition (covers Java 8)","Java in a Nutshell, 6th edition (covers Java 8)","8","7858cfd7-da35-40e4-a364-798691d4b9b2"
"Unknown","Unknown","","/home/venus/Calibre Library/Unknown/thebookoffsharp (9)/cover.jpg","2018-08-30T09:51:54-06:00","pdf","","","","Calibre Library","2014-02-14T18:50:15-07:00","","","","1.0","4535121","","thebookoffsharp","thebookoffsharp","9","6e130af6-d8d1-464d-82e5-976cd7763b1f"
"Unknown","Unknown","","/home/venus/Calibre Library/Unknown/learnyousomeerlangforgreatgood (10)/cover.jpg","2018-08-30T09:51:54-06:00","pdf","","","","Calibre Library","2012-12-17T13:37:28-07:00","","","","1.0","16232157","","learnyousomeerlangforgreatgood","learnyousomeerlangforgreatgood","10","90d62960-7b0e-4ac4-b13d-fa38b830dec3"
